FA,.y.,group1,group2,n1,n2,p,p.signif,p.adj,p.adj.signif,y.position,groups,x,xmin,xmax
16:0,value,HET,GKO,8,6,0.0823,ns,0.0823,ns,886.74279,,1,0.7,0.8999999999999999
16:0,value,HET,TG5,8,8,0.347,ns,0.347,ns,1811.9394750000001,,1,0.7,1.1
16:0,value,GKO,TG5,6,8,0.358,ns,0.358,ns,2737.13616,,1,0.8999999999999999,1.1
18:0,value,HET,GKO,8,6,0.771,ns,0.771,ns,1297.58879,,2,1.7,1.9
18:0,value,HET,TG5,8,8,0.0987,ns,0.0987,ns,2222.785475,,2,1.7,2.1
18:0,value,GKO,TG5,6,8,0.0724,ns,0.0724,ns,3147.9821600000005,,2,1.9,2.1
18:1,value,HET,GKO,8,6,3.45e-8,****,3.45e-8,****,9435.506790000001,,3,2.7,2.9
18:1,value,HET,TG5,8,8,2e-7,****,2e-7,****,10360.703475000002,,3,2.7,3.1
18:1,value,GKO,TG5,6,8,0.135,ns,0.135,ns,11285.900160000001,,3,2.9,3.1
18:2,value,HET,GKO,8,6,6.14e-4,***,6.14e-4,***,1929.73579,,4,3.7,3.9
18:2,value,HET,TG5,8,8,0.00226,**,0.00226,**,2854.932475,,4,3.7,4.1
18:2,value,GKO,TG5,6,8,0.415,ns,0.415,ns,3780.1291600000004,,4,3.9,4.1
20:3,value,HET,GKO,8,6,1.43e-4,***,1.43e-4,***,748.6517900000001,,5,4.7,4.9
20:3,value,HET,TG5,8,8,1.85e-4,***,1.85e-4,***,1673.8484750000002,,5,4.7,5.1
20:3,value,GKO,TG5,6,8,0.653,ns,0.653,ns,2599.0451600000006,,5,4.9,5.1
20:4,value,HET,GKO,8,6,0.00668,**,0.00668,**,1007.67479,,6,5.7,5.9
20:4,value,HET,TG5,8,8,0.00982,**,0.00982,**,1932.8714750000001,,6,5.7,6.1
20:4,value,GKO,TG5,6,8,0.703,ns,0.703,ns,2858.0681600000003,,6,5.9,6.1
22:5,value,HET,GKO,8,6,0.0605,ns,0.0605,ns,821.0847900000001,,7,6.7,6.9
22:5,value,HET,TG5,8,8,0.169,ns,0.169,ns,1746.2814750000002,,7,6.7,7.1
22:5,value,GKO,TG5,6,8,0.51,ns,0.51,ns,2671.4781600000006,,7,6.9,7.1
22:6,value,HET,GKO,8,6,7.87e-4,***,7.87e-4,***,1343.7827900000002,,8,7.7,7.9
22:6,value,HET,TG5,8,8,0.00148,**,0.00148,**,2268.979475,,8,7.7,8.1
22:6,value,GKO,TG5,6,8,0.588,ns,0.588,ns,3194.1761600000004,,8,7.9,8.1
