FA,.y.,group1,group2,n1,n2,p,p.signif,p.adj,p.adj.signif,y.position,groups,x,xmin,xmax
16:0,value,HET,GKO,8,6,0.00117,**,0.00117,**,142.54872,,1,0.7333333333333333,1
16:0,value,HET,TG5,8,8,3.33e-5,****,3.33e-5,****,256.3893,,1,0.7333333333333333,1.2666666666666666
16:0,value,GKO,TG5,6,8,0.253,ns,0.253,ns,370.22988,,1,1,1.2666666666666666
18:0,value,HET,GKO,8,6,0.05,*,0.05,*,371.43072000000006,,2,1.7333333333333334,2
18:0,value,HET,TG5,8,8,4.36e-6,****,4.36e-6,****,485.27130000000005,,2,1.7333333333333334,2.2666666666666666
18:0,value,GKO,TG5,6,8,0.00127,**,0.00127,**,599.11188,,2,2,2.2666666666666666
18:1,value,HET,GKO,8,6,0.391,ns,0.391,ns,1167.34572,,3,2.7333333333333334,3
18:1,value,HET,TG5,8,8,0.0209,*,0.0209,*,1281.1863,,3,2.7333333333333334,3.2666666666666666
18:1,value,GKO,TG5,6,8,0.00463,**,0.00463,**,1395.0268800000001,,3,3,3.2666666666666666
18:2,value,HET,GKO,8,6,0.161,ns,0.161,ns,275.04772,,4,3.7333333333333334,4
18:2,value,HET,TG5,8,8,5.3e-4,***,5.3e-4,***,388.8883,,4,3.7333333333333334,4.266666666666667
18:2,value,GKO,TG5,6,8,0.0271,*,0.0271,*,502.72888,,4,4,4.266666666666667
20:3,value,HET,GKO,8,6,0.305,ns,0.305,ns,101.10672,,5,4.733333333333333,5
20:3,value,HET,TG5,8,8,0.00808,**,0.00808,**,214.94729999999998,,5,4.733333333333333,5.266666666666667
20:3,value,GKO,TG5,6,8,0.00123,**,0.00123,**,328.78788,,5,5,5.266666666666667
20:4,value,HET,GKO,8,6,0.0594,ns,0.0594,ns,120.45972,,6,5.733333333333333,6
20:4,value,HET,TG5,8,8,0.00482,**,0.00482,**,234.30030000000002,,6,5.733333333333333,6.266666666666667
20:4,value,GKO,TG5,6,8,0.355,ns,0.355,ns,348.14088000000004,,6,6,6.266666666666667
22:5,value,HET,GKO,8,6,0.123,ns,0.123,ns,112.06172000000001,,7,6.733333333333333,7
22:5,value,HET,TG5,8,8,0.00823,**,0.00823,**,225.90230000000003,,7,6.733333333333333,7.266666666666667
22:5,value,GKO,TG5,6,8,0.278,ns,0.278,ns,339.74288,,7,7,7.266666666666667
22:6,value,HET,GKO,8,6,0.00357,**,0.00357,**,158.69572,,8,7.733333333333333,8
22:6,value,HET,TG5,8,8,2.67e-4,***,2.67e-4,***,272.5363,,8,7.733333333333333,8.266666666666666
22:6,value,GKO,TG5,6,8,0.429,ns,0.429,ns,386.37688000000003,,8,8,8.266666666666666
